,Area code,Area name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
116,W42000002,Growing Mid Wales,11345,11537,12063,12630,13177,14140,14729,15183,15804,16263,16055,15811,16334,17025,17213,17783,18222,19074,19721,19960,20644,20918,19691,20920
117,W06000023,Powys,11333,11663,12285,12839,13243,14270,14764,15124,15552,16061,15551,15295,15843,16451,16982,17492,18113,18866,19458,19421,20066,20326,19155,20135
118,W06000008,Ceredigion,11366,11323,11690,12280,13067,13919,14670,15285,16241,16616,16948,16731,17202,18039,17618,18292,18414,19447,20193,20938,21691,21995,20667,22405
119,W42000003,North Wales Economic Ambition Board,12964,13097,13613,13958,14488,15406,16225,16966,17865,18196,18389,17780,18520,19647,20140,21067,21166,21843,22553,23487,24236,24983,23269,26025
120,W06000001,Isle of Anglesey,9823,9976,10391,10797,11151,12184,13581,13895,14298,14394,14466,13382,13498,14399,14705,14889,15042,15852,16909,17451,18484,19596,16425,18102
121,W06000002,Gwynedd,12699,12824,13205,13629,14609,15725,16409,17583,18755,19124,19307,18477,18436,19254,19775,20878,20911,21203,21255,22237,22603,23400,20758,24613
122,W06000003,Conwy,10013,10292,10634,10964,11481,12172,12686,13259,13797,13925,13908,13248,13863,14511,14756,15764,16332,16961,17618,18836,19118,19480,17952,18930
123,W06000004,Denbighshire,11570,11694,12087,12564,13498,14291,15211,15892,16605,16873,17153,16494,17184,17923,17786,18817,19404,19686,20615,21568,22335,22707,21836,23767
124,W06000005,Flintshire,15751,15899,16564,16798,16950,17805,18468,19137,20467,20712,21572,21004,22501,24940,25983,26772,26699,27967,29321,30550,31301,31768,30291,34634
125,W06000006,Wrexham,15207,15182,15920,16203,16594,17642,18684,19529,20392,21134,20746,20588,21619,22317,22915,24081,23664,24256,24530,25008,26345,27762,26666,29043
126,W42000004,Swansea Bay City Region,12035,12184,12584,13065,13392,14122,15178,15764,16357,17025,17230,16529,17089,17472,17990,18911,19713,20536,21202,21818,22428,23590,21801,24991
127,W06000009,Pembrokeshire,12102,11792,11819,12826,12828,13963,16636,16236,15753,17338,17122,15476,16162,16121,16801,18512,18478,22134,22064,23087,22370,24359,22365,29382
128,W06000010,Carmarthenshire,11136,11248,11629,12028,12512,13154,13708,14455,15155,15467,15582,14671,15208,15792,16576,17426,18009,18588,19345,19450,20254,21253,19651,22504
129,W06000011,Swansea,12957,13281,13822,14663,15210,16124,17255,18209,18933,19538,19984,19835,19787,20399,20661,21230,22847,22541,23487,24406,25639,26421,24757,26924
130,W06000012,Neath Port Talbot,11586,11876,12388,11951,11981,12181,12388,12982,14135,14587,14856,14299,15780,15873,16328,17245,17669,18246,18941,19340,19795,21115,19089,21225
131,Not available,Aberdeen City Region,20359,20436,21065,22665,23661,23959,25141,26484,29702,32643,35454,34304,35318,35998,37846,40361,41863,40500,37669,37526,38031,38449,34759,36557
132,S12000033,Aberdeen City,25076,25317,26037,28177,29626,30341,32144,33897,38427,42447,46776,45186,46768,47324,50517,53376,53841,51371,46691,45462,47099,48420,43146,45491
133,S12000034,Aberdeenshire,15862,15826,16393,17518,18170,18183,18940,19972,22120,24119,25637,24819,25313,26064,26695,28895,31339,30941,29759,30590,30140,29720,27392,28821
134,Not available,Ayrshires,11439,11880,12528,13061,13407,13968,14635,15668,16620,16824,17330,16934,17401,17664,17985,18365,19154,19535,19883,20791,20997,21339,20021,21794
135,S12000008,East Ayrshire,10169,10590,11056,11716,12119,12499,13150,14286,15249,15679,16052,15682,15859,16203,16356,16505,16927,17484,17798,19108,18823,18634,17791,19256
